<<<<<<< HEAD
<<<<<<< Updated upstream
=======
<<<<<<< Updated upstream
<<<<<<< Updated upstream
>>>>>>> Stashed changes
,,,BR,NT,NT,BL,,,,
,,,NL,A,A,NR,,,,
,,,NL,A,A,NR,,,,
,,,NL,A,A,NR,,,,
,B,,NL,A,A,NR,,,,
,TR,NT,A,A,NB,NR,,,,
,,NL,NB,TL,,T,,,,
,,T,,,,,,,,
=======
,,BR,BL,,,,,,,
,,NL,A,BL,,,,BR,L,
,,NL,A,A,NT,NT,I2,TL,,
,R,A,A,A,A,TL,,,,
,,NL,NB,NB,NR,,,,,
,BR,TL,,,I1,,,,,
R,TL,,,,I1,,,,,
,,,,,TR,L,,,,
>>>>>>> main
,,,,,,,,,,
,,,,,,,,,,
<<<<<<< Updated upstream
=======
=======
=======
>>>>>>> Stashed changes
,,,,,,,,,,
BR,L,,,,,,,,,
I1,,BR,BL,,,,,,,
I1,,NL,NR,,,,,,,
I1,,NL,TL,,,,,,,
TR,NT,NR,,,,,,,,
,NL,A,BL,,,BR,I2,L,,
BR,A,A,NB,I2,I2,TL,,,,
NL,A,TL,,,,,,,,
TR,TL,,,,,,,,,
<<<<<<< Updated upstream
>>>>>>> Stashed changes
=======
>>>>>>> Stashed changes
>>>>>>> Stashed changes
